event_time,container_id,cargo_type,origin_port,destination_market,temperature_c,humidity_pct,vibration_g,transit_hour
2026-08-01T02:35:00,AVO-001,Avocados,Mombasa,Rotterdam,5.58,90.72,0.517,2
2026-08-01T02:40:00,AVO-001,Avocados,Mombasa,Rotterdam,5.51,90.01,0.44,2
2026-08-01T02:45:00,AVO-001,Avocados,Mombasa,Rotterdam,5.61,89.78,0.426,2
2026-08-01T02:50:00,AVO-001,Avocados,Mombasa,Rotterdam,5.79,88.53,0.468,2
2026-08-01T02:55:00,AVO-001,Avocados,Mombasa,Rotterdam,5.68,89.18,0.517,2
2026-08-01T03:00:00,AVO-001,Avocados,Mombasa,Rotterdam,5.92,92.03,0.568,3
2026-08-01T03:05:00,AVO-001,Avocados,Mombasa,Rotterdam,5.49,89.37,0.406,3
2026-08-01T03:10:00,AVO-001,Avocados,Mombasa,Rotterdam,5.72,90.82,0.374,3
2026-08-01T03:15:00,AVO-001,Avocados,Mombasa,Rotterdam,6.06,90.17,0.428,3
2026-08-01T03:20:00,AVO-001,Avocados,Mombasa,Rotterdam,5.85,89.44,0.514,3
2026-08-01T03:25:00,AVO-001,Avocados,Mombasa,Rotterdam,5.8,91.81,0.431,3
2026-08-01T03:30:00,AVO-001,Avocados,Mombasa,Rotterdam,6.09,89.6,0.361,3
2026-08-01T03:35:00,AVO-001,Avocados,Mombasa,Rotterdam,5.28,89.39,0.467,3
2026-08-01T03:40:00,AVO-001,Avocados,Mombasa,Rotterdam,5.55,88.17,0.424,3
2026-08-01T03:45:00,AVO-001,Avocados,Mombasa,Rotterdam,5.24,90.46,0.67,3
2026-08-01T03:50:00,AVO-001,Avocados,Mombasa,Rotterdam,6.08,89.72,0.496,3
2026-08-01T03:55:00,AVO-001,Avocados,Mombasa,Rotterdam,4.98,89.93,0.293,3
2026-08-01T04:00:00,AVO-001,Avocados,Mombasa,Rotterdam,5.22,89.84,0.435,4
2026-08-01T04:05:00,AVO-001,Avocados,Mombasa,Rotterdam,5.51,89.79,0.514,4
2026-08-01T04:10:00,AVO-001,Avocados,Mombasa,Rotterdam,5.23,86.49,0.066,4
2026-08-01T04:15:00,AVO-001,Avocados,Mombasa,Rotterdam,5.73,93.73,0.372,4
2026-08-01T04:20:00,AVO-001,Avocados,Mombasa,Rotterdam,5.36,90.8,0.414,4
2026-08-01T04:25:00,AVO-001,Avocados,Mombasa,Rotterdam,5.7,90.59,0.601,4
2026-08-01T04:30:00,AVO-001,Avocados,Mombasa,Rotterdam,5.97,88.32,0.184,4
2026-08-01T04:35:00,AVO-001,Avocados,Mombasa,Rotterdam,5.56,90.19,0.34,4
2026-08-01T04:40:00,AVO-001,Avocados,Mombasa,Rotterdam,5.15,87.22,0.45,4
2026-08-01T04:45:00,AVO-001,Avocados,Mombasa,Rotterdam,5.01,89.07,0.413,4
2026-08-01T04:50:00,AVO-001,Avocados,Mombasa,Rotterdam,5.57,88.69,0.526,4
2026-08-01T04:55:00,AVO-001,Avocados,Mombasa,Rotterdam,4.74,88.79,0.493,4
2026-08-01T05:00:00,AVO-001,Avocados,Mombasa,Rotterdam,5.96,89.21,0.438,5
2026-08-01T05:05:00,AVO-001,Avocados,Mombasa,Rotterdam,5.64,91.89,0.665,5
2026-08-01T05:10:00,AVO-001,Avocados,Mombasa,Rotterdam,5.56,89.21,0.594,5
2026-08-01T05:15:00,AVO-001,Avocados,Mombasa,Rotterdam,4.75,89.23,0.284,5
2026-08-01T05:20:00,AVO-001,Avocados,Mombasa,Rotterdam,5.35,89.76,0.797,5
2026-08-01T05:25:00,AVO-001,Avocados,Mombasa,Rotterdam,5.57,88.92,0.252,5
2026-08-01T05:30:00,AVO-001,Avocados,Mombasa,Rotterdam,5.79,89.35,0.594,5
2026-08-01T05:35:00,AVO-001,Avocados,Mombasa,Rotterdam,5.1,90.28,0.511,5
2026-08-01T05:40:00,AVO-001,Avocados,Mombasa,Rotterdam,5.44,91.07,0.3,5
2026-08-01T05:45:00,AVO-001,Avocados,Mombasa,Rotterdam,5.38,89.31,0.439,5
2026-08-01T05:50:00,AVO-001,Avocados,Mombasa,Rotterdam,5.74,89.25,0.208,5
2026-08-01T05:55:00,AVO-001,Avocados,Mombasa,Rotterdam,5.6,91.29,0.311,5
2026-08-01T06:00:00,AVO-001,Avocados,Mombasa,Rotterdam,5.81,89.13,0.221,6
2026-08-01T06:05:00,AVO-001,Avocados,Mombasa,Rotterdam,5.43,91.6,0.419,6
2026-08-01T06:10:00,AVO-001,Avocados,Mombasa,Rotterdam,5.51,90.12,0.428,6
2026-08-01T06:15:00,AVO-001,Avocados,Mombasa,Rotterdam,5.32,87.62,0.44,6
2026-08-01T06:20:00,AVO-001,Avocados,Mombasa,Rotterdam,5.25,89.54,0.21,6
2026-08-01T06:25:00,AVO-001,Avocados,Mombasa,Rotterdam,5.46,90.15,0.331,6
2026-08-01T06:30:00,AVO-001,Avocados,Mombasa,Rotterdam,5.29,89.58,0.357,6
2026-08-01T06:35:00,AVO-001,Avocados,Mombasa,Rotterdam,6.01,88.08,0.391,6
2026-08-01T06:40:00,AVO-001,Avocados,Mombasa,Rotterdam,5.54,86.7,0.206,6
2026-08-01T06:45:00,AVO-001,Avocados,Mombasa,Rotterdam,5.64,88.2,0.394,6
2026-08-01T06:50:00,AVO-001,Avocados,Mombasa,Rotterdam,5.38,88.46,0.233,6
2026-08-01T06:55:00,AVO-001,Avocados,Mombasa,Rotterdam,5.43,92.17,0.316,6
2026-08-01T07:00:00,AVO-001,Avocados,Mombasa,Rotterdam,6.01,87.49,0.388,7
2026-08-01T07:05:00,AVO-001,Avocados,Mombasa,Rotterdam,5.88,92.69,0.3,7
2026-08-01T07:10:00,AVO-001,Avocados,Mombasa,Rotterdam,5.6,90.58,0.346,7
2026-08-01T07:15:00,AVO-001,Avocados,Mombasa,Rotterdam,5.54,90.03,0.458,7
2026-08-01T07:20:00,AVO-001,Avocados,Mombasa,Rotterdam,5.25,87.7,0.469,7
2026-08-01T07:25:00,AVO-001,Avocados,Mombasa,Rotterdam,5.4,89.53,0.185,7
2026-08-01T07:30:00,AVO-001,Avocados,Mombasa,Rotterdam,5.89,92.43,0.503,7
2026-08-01T07:35:00,AVO-001,Avocados,Mombasa,Rotterdam,5.46,91.45,0.356,7
2026-08-01T07:40:00,AVO-001,Avocados,Mombasa,Rotterdam,4.59,90.36,0.444,7
2026-08-01T07:45:00,AVO-001,Avocados,Mombasa,Rotterdam,5.35,88.36,0.475,7
2026-08-01T07:50:00,AVO-001,Avocados,Mombasa,Rotterdam,5.39,90.84,0.3,7
2026-08-01T07:55:00,AVO-001,Avocados,Mombasa,Rotterdam,5.94,91.89,0.423,7
2026-08-01T08:00:00,AVO-001,Avocados,Mombasa,Rotterdam,5.45,90.1,0.297,8
2026-08-01T08:05:00,AVO-001,Avocados,Mombasa,Rotterdam,5.87,89.45,0.396,8
2026-08-01T08:10:00,AVO-001,Avocados,Mombasa,Rotterdam,6.03,89.75,0.469,8
2026-08-01T08:15:00,AVO-001,Avocados,Mombasa,Rotterdam,5.48,89.96,0.442,8
2026-08-01T08:20:00,AVO-001,Avocados,Mombasa,Rotterdam,5.54,88.83,0.508,8
2026-08-01T08:25:00,AVO-001,Avocados,Mombasa,Rotterdam,5.73,92.35,0.253,8
2026-08-01T08:30:00,AVO-001,Avocados,Mombasa,Rotterdam,5.49,90.85,0.57,8
2026-08-01T08:35:00,AVO-001,Avocados,Mombasa,Rotterdam,5.31,89.8,0.338,8
2026-08-01T08:40:00,AVO-001,Avocados,Mombasa,Rotterdam,5.93,90.81,0.348,8
2026-08-01T08:45:00,AVO-001,Avocados,Mombasa,Rotterdam,5.55,91.97,0.32,8
2026-08-01T08:50:00,AVO-001,Avocados,Mombasa,Rotterdam,5.54,89.41,0.434,8
2026-08-01T08:55:00,AVO-001,Avocados,Mombasa,Rotterdam,5.41,91.07,0.275,8
2026-08-01T09:00:00,AVO-001,Avocados,Mombasa,Rotterdam,5.3,91.61,0.506,9
2026-08-01T09:05:00,AVO-001,Avocados,Mombasa,Rotterdam,5.39,91.26,0.533,9
2026-08-01T09:10:00,AVO-001,Avocados,Mombasa,Rotterdam,5.51,90.72,0.425,9
2026-08-01T09:15:00,AVO-001,Avocados,Mombasa,Rotterdam,5.58,90.39,0.524,9
2026-08-01T09:20:00,AVO-001,Avocados,Mombasa,Rotterdam,5.33,92.38,0.356,9
2026-08-01T09:25:00,AVO-001,Avocados,Mombasa,Rotterdam,5.84,90.61,0.525,9
2026-08-01T09:30:00,AVO-001,Avocados,Mombasa,Rotterdam,5.73,90.13,0.643,9
2026-08-01T09:35:00,AVO-001,Avocados,Mombasa,Rotterdam,5.55,89.08,0.369,9
2026-08-01T09:40:00,AVO-001,Avocados,Mombasa,Rotterdam,4.81,90.55,0.618,9
2026-08-01T09:45:00,AVO-001,Avocados,Mombasa,Rotterdam,5.84,88.4,0.472,9
2026-08-01T09:50:00,AVO-001,Avocados,Mombasa,Rotterdam,5.65,88.71,0.171,9
2026-08-01T09:55:00,AVO-001,Avocados,Mombasa,Rotterdam,5.48,91.37,0.385,9
2026-08-01T10:00:00,AVO-001,Avocados,Mombasa,Rotterdam,5.73,87.96,0.3,10
2026-08-01T10:05:00,AVO-001,Avocados,Mombasa,Rotterdam,5.27,89.71,0.441,10
2026-08-01T10:10:00,AVO-001,Avocados,Mombasa,Rotterdam,5.58,90.42,0.393,10
2026-08-01T10:15:00,AVO-001,Avocados,Mombasa,Rotterdam,5.27,90.33,0.454,10
2026-08-01T10:20:00,AVO-001,Avocados,Mombasa,Rotterdam,5.83,87.45,0.342,10
2026-08-01T10:25:00,AVO-001,Avocados,Mombasa,Rotterdam,5.29,90.06,0.525,10
2026-08-01T10:30:00,AVO-001,Avocados,Mombasa,Rotterdam,5.33,90.22,0.289,10
2026-08-01T10:35:00,AVO-001,Avocados,Mombasa,Rotterdam,5.58,93.91,0.304,10
2026-08-01T10:40:00,AVO-001,Avocados,Mombasa,Rotterdam,5.29,89.67,0.526,10
2026-08-01T10:45:00,AVO-001,Avocados,Mombasa,Rotterdam,5.44,89.96,0.405,10
2026-08-01T10:50:00,AVO-001,Avocados,Mombasa,Rotterdam,5.25,91.15,0.3,10
2026-08-01T10:55:00,AVO-001,Avocados,Mombasa,Rotterdam,5.5,89.85,0.4,10
2026-08-01T11:00:00,AVO-001,Avocados,Mombasa,Rotterdam,5.49,90.65,0.365,11
2026-08-01T11:05:00,AVO-001,Avocados,Mombasa,Rotterdam,5.55,91.26,0.418,11
2026-08-01T11:10:00,AVO-001,Avocados,Mombasa,Rotterdam,5.54,91.98,0.154,11
2026-08-01T11:15:00,AVO-001,Avocados,Mombasa,Rotterdam,5.41,88.69,0.201,11
2026-08-01T11:20:00,AVO-001,Avocados,Mombasa,Rotterdam,5.72,88.97,0.2,11
2026-08-01T11:25:00,AVO-001,Avocados,Mombasa,Rotterdam,6.27,91.42,0.594,11
2026-08-01T11:30:00,AVO-001,Avocados,Mombasa,Rotterdam,5.44,89.65,0.562,11
2026-08-01T11:35:00,AVO-001,Avocados,Mombasa,Rotterdam,4.96,88.3,0.225,11
2026-08-01T11:40:00,AVO-001,Avocados,Mombasa,Rotterdam,5.56,89.24,0.224,11
2026-08-01T11:45:00,AVO-001,Avocados,Mombasa,Rotterdam,5.45,91.38,0.167,11
2026-08-01T11:50:00,AVO-001,Avocados,Mombasa,Rotterdam,5.68,88.24,0.578,11
2026-08-01T11:55:00,AVO-001,Avocados,Mombasa,Rotterdam,5.22,89.62,0.298,11
2026-08-01T12:00:00,AVO-001,Avocados,Mombasa,Rotterdam,5.66,90.16,0.355,12
2026-08-01T12:05:00,AVO-001,Avocados,Mombasa,Rotterdam,5.61,90.98,0.235,12
2026-08-01T12:10:00,AVO-001,Avocados,Mombasa,Rotterdam,5.21,88.49,0.327,12
2026-08-01T12:15:00,AVO-001,Avocados,Mombasa,Rotterdam,5.18,92.68,0.406,12
2026-08-01T12:20:00,AVO-001,Avocados,Mombasa,Rotterdam,5.5,88.23,0.185,12
2026-08-01T12:25:00,AVO-001,Avocados,Mombasa,Rotterdam,5.4,92.24,0.499,12
2026-08-01T12:30:00,AVO-001,Avocados,Mombasa,Rotterdam,5.5,90.59,0.376,12
2026-08-01T12:35:00,AVO-001,Avocados,Mombasa,Rotterdam,5.98,90.68,0.636,12
2026-08-01T12:40:00,AVO-001,Avocados,Mombasa,Rotterdam,5.85,89.73,0.273,12
2026-08-01T12:45:00,AVO-001,Avocados,Mombasa,Rotterdam,5.73,88.96,0.166,12
2026-08-01T12:50:00,AVO-001,Avocados,Mombasa,Rotterdam,5.18,88.56,0.475,12
2026-08-01T12:55:00,AVO-001,Avocados,Mombasa,Rotterdam,5.58,89.94,0.647,12
2026-08-01T13:00:00,AVO-001,Avocados,Mombasa,Rotterdam,5.37,91.83,0.453,13
2026-08-01T13:05:00,AVO-001,Avocados,Mombasa,Rotterdam,5.51,89.74,0.622,13
2026-08-01T13:10:00,AVO-001,Avocados,Mombasa,Rotterdam,5.34,87.9,0.354,13
2026-08-01T13:15:00,AVO-001,Avocados,Mombasa,Rotterdam,5.85,88.36,0.437,13
2026-08-01T13:20:00,AVO-001,Avocados,Mombasa,Rotterdam,5.97,92.15,0.53,13
2026-08-01T13:25:00,AVO-001,Avocados,Mombasa,Rotterdam,6.29,90.26,0.389,13
2026-08-01T13:30:00,AVO-001,Avocados,Mombasa,Rotterdam,4.96,90.71,0.561,13
2026-08-01T13:35:00,AVO-001,Avocados,Mombasa,Rotterdam,5.43,89.88,0.502,13
2026-08-01T13:40:00,AVO-001,Avocados,Mombasa,Rotterdam,5.69,89.65,0.328,13
2026-08-01T13:45:00,AVO-001,Avocados,Mombasa,Rotterdam,5.42,86.34,0.344,13
2026-08-01T13:50:00,AVO-001,Avocados,Mombasa,Rotterdam,5.87,92.06,0.087,13
2026-08-01T13:55:00,AVO-001,Avocados,Mombasa,Rotterdam,5.47,89.69,0.296,13
2026-08-01T14:00:00,AVO-001,Avocados,Mombasa,Rotterdam,5.78,88.96,0.413,14
2026-08-01T14:05:00,AVO-001,Avocados,Mombasa,Rotterdam,5.5,88.36,0.409,14
2026-08-01T14:10:00,AVO-001,Avocados,Mombasa,Rotterdam,5.45,90.78,0.327,14
2026-08-01T14:15:00,AVO-001,Avocados,Mombasa,Rotterdam,5.72,90.05,0.393,14
2026-08-01T14:20:00,AVO-001,Avocados,Mombasa,Rotterdam,5.5,87.13,0.65,14
2026-08-01T14:25:00,AVO-001,Avocados,Mombasa,Rotterdam,5.97,89.26,0.086,14
2026-08-01T14:30:00,AVO-001,Avocados,Mombasa,Rotterdam,5.43,91.4,0.03,14
2026-08-01T14:35:00,AVO-001,Avocados,Mombasa,Rotterdam,6.19,88.8,0.325,14
2026-08-01T14:40:00,AVO-001,Avocados,Mombasa,Rotterdam,5.28,90.53,0.466,14
2026-08-01T14:45:00,AVO-001,Avocados,Mombasa,Rotterdam,5.54,90.62,0.294,14
2026-08-01T14:50:00,AVO-001,Avocados,Mombasa,Rotterdam,5.71,89.55,0.382,14
2026-08-01T14:55:00,AVO-001,Avocados,Mombasa,Rotterdam,5.86,90.54,0.535,14
2026-08-01T15:00:00,AVO-001,Avocados,Mombasa,Rotterdam,6.1,89.15,0.48,15
2026-08-01T15:05:00,AVO-001,Avocados,Mombasa,Rotterdam,5.11,93.05,0.215,15
2026-08-01T15:10:00,AVO-001,Avocados,Mombasa,Rotterdam,5.04,89.27,0.632,15
2026-08-01T15:15:00,AVO-001,Avocados,Mombasa,Rotterdam,5.65,87.61,0.476,15
2026-08-01T15:20:00,AVO-001,Avocados,Mombasa,Rotterdam,5.35,89.03,0.727,15
2026-08-01T15:25:00,AVO-001,Avocados,Mombasa,Rotterdam,5.71,91.18,0.522,15
2026-08-01T15:30:00,AVO-001,Avocados,Mombasa,Rotterdam,5.36,91.05,0.372,15
2026-08-01T15:35:00,AVO-001,Avocados,Mombasa,Rotterdam,4.68,89.86,0.619,15
2026-08-01T15:40:00,AVO-001,Avocados,Mombasa,Rotterdam,5.38,91.82,0.328,15
2026-08-01T15:45:00,AVO-001,Avocados,Mombasa,Rotterdam,5.61,90.54,0.487,15
2026-08-01T15:50:00,AVO-001,Avocados,Mombasa,Rotterdam,5.79,89.02,0.461,15
2026-08-01T15:55:00,AVO-001,Avocados,Mombasa,Rotterdam,6.14,91.64,0.396,15
2026-08-01T16:00:00,AVO-001,Avocados,Mombasa,Rotterdam,5.63,90.75,0.516,16
2026-08-01T16:05:00,AVO-001,Avocados,Mombasa,Rotterdam,5.65,90.93,0.46,16
2026-08-01T16:10:00,AVO-001,Avocados,Mombasa,Rotterdam,5.48,91.95,0.59,16
2026-08-01T16:15:00,AVO-001,Avocados,Mombasa,Rotterdam,5.18,88.68,0.481,16
2026-08-01T16:20:00,AVO-001,Avocados,Mombasa,Rotterdam,5.21,89.78,0.372,16
2026-08-01T16:25:00,AVO-001,Avocados,Mombasa,Rotterdam,5.59,89.32,0.787,16
2026-08-01T16:30:00,AVO-001,Avocados,Mombasa,Rotterdam,5.75,91.26,0.195,16
2026-08-01T16:35:00,AVO-001,Avocados,Mombasa,Rotterdam,5.07,90.25,0.517,16
2026-08-01T16:40:00,AVO-001,Avocados,Mombasa,Rotterdam,5.5,91.52,0.049,16
2026-08-01T16:45:00,AVO-001,Avocados,Mombasa,Rotterdam,5.75,91.77,0.152,16
2026-08-01T16:50:00,AVO-001,Avocados,Mombasa,Rotterdam,5.58,90.05,0.32,16
2026-08-01T16:55:00,AVO-001,Avocados,Mombasa,Rotterdam,4.88,88.03,0.433,16
2026-08-01T17:00:00,AVO-001,Avocados,Mombasa,Rotterdam,5.8,90.0,0.651,17
2026-08-01T17:05:00,AVO-001,Avocados,Mombasa,Rotterdam,5.25,92.47,0.083,17
2026-08-01T17:10:00,AVO-001,Avocados,Mombasa,Rotterdam,5.5,90.72,0.503,17
2026-08-01T17:15:00,AVO-001,Avocados,Mombasa,Rotterdam,5.8,88.52,0.075,17
2026-08-01T17:20:00,AVO-001,Avocados,Mombasa,Rotterdam,5.42,87.87,0.415,17
2026-08-01T17:25:00,AVO-001,Avocados,Mombasa,Rotterdam,5.17,89.6,0.386,17
2026-08-01T17:30:00,AVO-001,Avocados,Mombasa,Rotterdam,5.54,88.93,0.589,17
2026-08-01T17:35:00,AVO-001,Avocados,Mombasa,Rotterdam,5.29,89.74,0.474,17
2026-08-01T17:40:00,AVO-001,Avocados,Mombasa,Rotterdam,5.5,92.13,0.377,17
2026-08-01T17:45:00,AVO-001,Avocados,Mombasa,Rotterdam,5.36,91.65,0.478,17
2026-08-01T17:50:00,AVO-001,Avocados,Mombasa,Rotterdam,5.24,89.26,0.434,17
2026-08-01T17:55:00,AVO-001,Avocados,Mombasa,Rotterdam,5.9,91.27,0.408,17
2026-08-01T18:00:00,AVO-001,Avocados,Mombasa,Rotterdam,4.76,90.93,0.209,18
2026-08-01T18:05:00,AVO-001,Avocados,Mombasa,Rotterdam,5.01,88.92,0.417,18
2026-08-01T18:10:00,AVO-001,Avocados,Mombasa,Rotterdam,5.51,93.81,0.364,18
2026-08-01T18:15:00,AVO-001,Avocados,Mombasa,Rotterdam,5.25,91.75,0.424,18
2026-08-01T18:20:00,AVO-001,Avocados,Mombasa,Rotterdam,5.36,88.61,0.39,18
2026-08-01T18:25:00,AVO-001,Avocados,Mombasa,Rotterdam,5.94,90.96,0.351,18
2026-08-01T18:30:00,AVO-001,Avocados,Mombasa,Rotterdam,5.77,90.29,0.2,18
2026-08-01T18:35:00,AVO-001,Avocados,Mombasa,Rotterdam,5.72,90.86,0.654,18
2026-08-01T18:40:00,AVO-001,Avocados,Mombasa,Rotterdam,5.48,88.23,0.51,18
2026-08-01T18:45:00,AVO-001,Avocados,Mombasa,Rotterdam,6.26,88.95,0.657,18
2026-08-01T18:50:00,AVO-001,Avocados,Mombasa,Rotterdam,5.53,91.05,0.408,18
2026-08-01T18:55:00,AVO-001,Avocados,Mombasa,Rotterdam,5.25,91.68,0.348,18
2026-08-01T19:00:00,AVO-001,Avocados,Mombasa,Rotterdam,5.58,90.98,0.208,19
2026-08-01T19:05:00,AVO-001,Avocados,Mombasa,Rotterdam,5.72,90.8,0.373,19
2026-08-01T19:10:00,AVO-001,Avocados,Mombasa,Rotterdam,5.34,90.64,0.482,19
2026-08-01T19:15:00,AVO-001,Avocados,Mombasa,Rotterdam,5.47,90.5,0.417,19
2026-08-01T19:20:00,AVO-001,Avocados,Mombasa,Rotterdam,5.0,91.99,0.581,19
2026-08-01T19:25:00,AVO-001,Avocados,Mombasa,Rotterdam,5.17,93.47,0.395,19
2026-08-01T19:30:00,AVO-001,Avocados,Mombasa,Rotterdam,5.41,90.84,0.629,19
2026-08-01T19:35:00,AVO-001,Avocados,Mombasa,Rotterdam,5.31,92.17,0.444,19
2026-08-01T19:40:00,AVO-001,Avocados,Mombasa,Rotterdam,5.29,91.0,0.355,19
2026-08-01T19:45:00,AVO-001,Avocados,Mombasa,Rotterdam,5.66,91.22,0.402,19
2026-08-01T19:50:00,AVO-001,Avocados,Mombasa,Rotterdam,5.05,93.01,0.676,19
2026-08-01T19:55:00,AVO-001,Avocados,Mombasa,Rotterdam,6.04,90.37,0.536,19
2026-08-01T20:00:00,AVO-001,Avocados,Mombasa,Rotterdam,5.74,87.49,0.357,20
2026-08-01T20:05:00,AVO-001,Avocados,Mombasa,Rotterdam,5.54,88.57,0.424,20
2026-08-01T20:10:00,AVO-001,Avocados,Mombasa,Rotterdam,5.67,89.52,0.19,20
2026-08-01T20:15:00,AVO-001,Avocados,Mombasa,Rotterdam,5.98,91.52,0.429,20
2026-08-01T20:20:00,AVO-001,Avocados,Mombasa,Rotterdam,5.69,87.63,0.439,20
2026-08-01T20:25:00,AVO-001,Avocados,Mombasa,Rotterdam,5.52,93.11,0.529,20
2026-08-01T20:30:00,AVO-001,Avocados,Mombasa,Rotterdam,5.48,92.49,0.51,20
2026-08-01T20:35:00,AVO-001,Avocados,Mombasa,Rotterdam,5.34,89.47,0.774,20
2026-08-01T20:40:00,AVO-001,Avocados,Mombasa,Rotterdam,5.33,89.22,0.373,20
2026-08-01T20:45:00,AVO-001,Avocados,Mombasa,Rotterdam,5.24,89.98,0.413,20
2026-08-01T20:50:00,AVO-001,Avocados,Mombasa,Rotterdam,5.52,86.66,0.161,20
2026-08-01T20:55:00,AVO-001,Avocados,Mombasa,Rotterdam,4.96,91.08,0.417,20
2026-08-01T21:00:00,AVO-001,Avocados,Mombasa,Rotterdam,4.76,90.58,0.542,21
2026-08-01T21:05:00,AVO-001,Avocados,Mombasa,Rotterdam,5.42,89.99,0.559,21
2026-08-01T21:10:00,AVO-001,Avocados,Mombasa,Rotterdam,4.81,90.14,0.511,21
2026-08-01T21:15:00,AVO-001,Avocados,Mombasa,Rotterdam,5.99,89.8,0.122,21
2026-08-01T21:20:00,AVO-001,Avocados,Mombasa,Rotterdam,5.56,87.97,0.338,21
2026-08-01T21:25:00,AVO-001,Avocados,Mombasa,Rotterdam,5.73,88.31,0.6,21
2026-08-01T21:30:00,AVO-001,Avocados,Mombasa,Rotterdam,5.67,90.47,0.402,21
2026-08-01T21:35:00,AVO-001,Avocados,Mombasa,Rotterdam,5.27,90.36,0.416,21
2026-08-01T21:40:00,AVO-001,Avocados,Mombasa,Rotterdam,5.25,89.57,0.709,21
2026-08-01T21:45:00,AVO-001,Avocados,Mombasa,Rotterdam,5.42,91.17,0.391,21
2026-08-01T21:50:00,AVO-001,Avocados,Mombasa,Rotterdam,5.62,90.34,0.164,21
2026-08-01T21:55:00,AVO-001,Avocados,Mombasa,Rotterdam,5.5,88.96,0.436,21
2026-08-01T22:00:00,AVO-001,Avocados,Mombasa,Rotterdam,5.14,91.04,0.286,22
2026-08-01T22:05:00,AVO-001,Avocados,Mombasa,Rotterdam,5.06,91.27,0.218,22
2026-08-01T22:10:00,AVO-001,Avocados,Mombasa,Rotterdam,5.92,91.98,0.347,22
2026-08-01T22:15:00,AVO-001,Avocados,Mombasa,Rotterdam,5.87,88.29,0.576,22
2026-08-01T22:20:00,AVO-001,Avocados,Mombasa,Rotterdam,5.57,91.07,0.403,22
2026-08-01T22:25:00,AVO-001,Avocados,Mombasa,Rotterdam,5.67,91.47,0.269,22
2026-08-01T22:30:00,AVO-001,Avocados,Mombasa,Rotterdam,5.36,91.34,0.578,22
2026-08-01T22:35:00,AVO-001,Avocados,Mombasa,Rotterdam,5.48,90.32,0.671,22
