container_id,cargo_type,origin_port,transit_hour,spoilage_risk_index,estimated_hours_to_spoilage,remaining_hours_to_primary,at_risk_flag,primary_market,primary_price,degraded_primary_value_usd_per_ton,secondary_market,secondary_price,hours_to_reach_secondary,secondary_reachable_in_time,spoilage_arbitrage_usd_per_ton,recommendation
MAN-007,Mangoes,Karachi,95,5.8,45.7,35,false,Dubai,1800,1800.0,Abu Dhabi,1750,7.0,true,-50.0,ON TRACK - continue to Dubai
MAN-001,Mangoes,Karachi,95,6.5,45.4,35,false,Dubai,1800,1800.0,Abu Dhabi,1750,7.0,true,-50.0,ON TRACK - continue to Dubai
GRA-001,Grapes,Valparaiso,95,6.0,45.6,35,false,New York,2600,2600.0,Newark,2540,1.3,true,-60.0,ON TRACK - continue to New York
GRA-002,Grapes,Valparaiso,95,5.4,45.8,35,false,New York,2600,2600.0,Newark,2540,1.3,true,-60.0,ON TRACK - continue to New York
GRA-004,Grapes,Valparaiso,95,7.0,45.2,35,false,New York,2600,2600.0,Newark,2540,1.3,true,-60.0,ON TRACK - continue to New York
GRA-005,Grapes,Valparaiso,95,6.5,45.4,35,false,New York,2600,2600.0,Newark,2540,1.3,true,-60.0,ON TRACK - continue to New York
GRA-006,Grapes,Valparaiso,95,6.5,45.4,35,false,New York,2600,2600.0,Newark,2540,1.3,true,-60.0,ON TRACK - continue to New York
GRA-007,Grapes,Valparaiso,95,6.6,45.4,35,false,New York,2600,2600.0,Newark,2540,1.3,true,-60.0,ON TRACK - continue to New York
GRA-008,Grapes,Valparaiso,95,6.3,45.5,35,false,New York,2600,2600.0,Newark,2540,1.3,true,-60.0,ON TRACK - continue to New York
ASP-007,Asparagus,Tangier,95,6.7,45.3,35,false,Marseille,2900,2900.0,Genoa,2820,20.0,true,-80.0,ON TRACK - continue to Marseille
ASP-006,Asparagus,Tangier,95,6.3,45.5,35,false,Marseille,2900,2900.0,Genoa,2820,20.0,true,-80.0,ON TRACK - continue to Marseille
ASP-004,Asparagus,Tangier,95,6.2,45.5,35,false,Marseille,2900,2900.0,Genoa,2820,20.0,true,-80.0,ON TRACK - continue to Marseille
ASP-003,Asparagus,Tangier,95,5.8,45.7,35,false,Marseille,2900,2900.0,Genoa,2820,20.0,true,-80.0,ON TRACK - continue to Marseille
ASP-002,Asparagus,Tangier,95,7.9,44.8,35,false,Marseille,2900,2900.0,Genoa,2820,20.0,true,-80.0,ON TRACK - continue to Marseille
ASP-001,Asparagus,Tangier,95,7.1,45.2,35,false,Marseille,2900,2900.0,Genoa,2820,20.0,true,-80.0,ON TRACK - continue to Marseille
AVO-001,Avocados,Mombasa,95,5.8,45.7,35,false,Rotterdam,2400,2400.0,Antwerp,2280,4.5,true,-120.0,ON TRACK - continue to Rotterdam
AVO-002,Avocados,Mombasa,95,7.9,44.8,35,false,Rotterdam,2400,2400.0,Antwerp,2280,4.5,true,-120.0,ON TRACK - continue to Rotterdam
AVO-003,Avocados,Mombasa,95,5.5,45.8,35,false,Rotterdam,2400,2400.0,Antwerp,2280,4.5,true,-120.0,ON TRACK - continue to Rotterdam
AVO-008,Avocados,Mombasa,95,6.8,45.3,35,false,Rotterdam,2400,2400.0,Antwerp,2280,4.5,true,-120.0,ON TRACK - continue to Rotterdam
AVO-006,Avocados,Mombasa,95,6.4,45.4,35,false,Rotterdam,2400,2400.0,Antwerp,2280,4.5,true,-120.0,ON TRACK - continue to Rotterdam
SAL-006,Salmon,Bergen,95,6.2,45.5,35,false,Boston,4200,4200.0,Portland,4050,8.5,true,-150.0,ON TRACK - continue to Boston
SAL-005,Salmon,Bergen,95,6.4,45.4,35,false,Boston,4200,4200.0,Portland,4050,8.5,true,-150.0,ON TRACK - continue to Boston
STR-005,Strawberries,Huelva,95,6.0,45.6,35,false,Paris,3100,3100.0,Lyon,2950,23.0,true,-150.0,ON TRACK - continue to Paris
SAL-007,Salmon,Bergen,95,4.9,46.0,35,false,Boston,4200,4200.0,Portland,4050,8.5,true,-150.0,ON TRACK - continue to Boston
SAL-008,Salmon,Bergen,95,7.1,45.2,35,false,Boston,4200,4200.0,Portland,4050,8.5,true,-150.0,ON TRACK - continue to Boston
BLU-001,Blueberries,Lima,95,4.9,46.0,35,false,Miami,3600,3600.0,Tampa,3450,16.5,true,-150.0,ON TRACK - continue to Miami
BLU-002,Blueberries,Lima,95,5.3,45.9,35,false,Miami,3600,3600.0,Tampa,3450,16.5,true,-150.0,ON TRACK - continue to Miami
BLU-003,Blueberries,Lima,95,5.6,45.8,35,false,Miami,3600,3600.0,Tampa,3450,16.5,true,-150.0,ON TRACK - continue to Miami
BLU-004,Blueberries,Lima,95,7.0,45.2,35,false,Miami,3600,3600.0,Tampa,3450,16.5,true,-150.0,ON TRACK - continue to Miami
SAL-004,Salmon,Bergen,95,6.9,45.2,35,false,Boston,4200,4200.0,Portland,4050,8.5,true,-150.0,ON TRACK - continue to Boston
BLU-006,Blueberries,Lima,95,5.8,45.7,35,false,Miami,3600,3600.0,Tampa,3450,16.5,true,-150.0,ON TRACK - continue to Miami
BLU-007,Blueberries,Lima,95,6.0,45.6,35,false,Miami,3600,3600.0,Tampa,3450,16.5,true,-150.0,ON TRACK - continue to Miami
BLU-008,Blueberries,Lima,95,7.0,45.2,35,false,Miami,3600,3600.0,Tampa,3450,16.5,true,-150.0,ON TRACK - continue to Miami
SAL-003,Salmon,Bergen,95,6.0,45.6,35,false,Boston,4200,4200.0,Portland,4050,8.5,true,-150.0,ON TRACK - continue to Boston
SAL-001,Salmon,Bergen,95,6.8,45.3,35,false,Boston,4200,4200.0,Portland,4050,8.5,true,-150.0,ON TRACK - continue to Boston
STR-001,Strawberries,Huelva,95,8.9,44.4,35,false,Paris,3100,3100.0,Lyon,2950,23.0,true,-150.0,ON TRACK - continue to Paris
STR-002,Strawberries,Huelva,95,6.9,45.2,35,false,Paris,3100,3100.0,Lyon,2950,23.0,true,-150.0,ON TRACK - continue to Paris
STR-007,Strawberries,Huelva,95,7.2,45.1,35,false,Paris,3100,3100.0,Lyon,2950,23.0,true,-150.0,ON TRACK - continue to Paris
STR-006,Strawberries,Huelva,95,5.8,45.7,35,false,Paris,3100,3100.0,Lyon,2950,23.0,true,-150.0,ON TRACK - continue to Paris
STR-004,Strawberries,Huelva,95,7.1,45.2,35,false,Paris,3100,3100.0,Lyon,2950,23.0,true,-150.0,ON TRACK - continue to Paris
STR-003,Strawberries,Huelva,95,7.2,45.1,35,false,Paris,3100,3100.0,Lyon,2950,23.0,true,-150.0,ON TRACK - continue to Paris
